epoch,acc
1,0.1014
2,0.0977
3,0.0977
4,0.0977
5,0.0952
6,0.0952
7,0.1838
8,0.1726
9,0.1873
10,0.2273
11,0.2459
12,0.2794
13,0.2923
14,0.3226
15,0.34
16,0.3738
17,0.4077
18,0.4305
19,0.4485
20,0.4929
21,0.5131
22,0.5143
23,0.5759
24,0.5864
25,0.5905
26,0.5749
27,0.6111
28,0.6115
29,0.6253
30,0.6579
31,0.6438
32,0.6461
33,0.6512
34,0.6639
35,0.6955
36,0.6841
37,0.6957
38,0.7045
39,0.702
40,0.7011
41,0.7043
42,0.6919
43,0.6978
44,0.6958
45,0.7194
46,0.722
47,0.711
48,0.7093
49,0.7299
50,0.7169
51,0.7161
52,0.6889
53,0.7294
54,0.7268
55,0.7231
56,0.7352
57,0.7404
58,0.7328
59,0.7304
60,0.7183
61,0.7407
62,0.7347
63,0.7314
64,0.743
65,0.7334
66,0.7383
67,0.7306
68,0.734
69,0.7486
70,0.7357
