epoch,acc, 
1,0.103,
2,0.103,
3,0.103,
4,0.103,
5,0.1973,
6,0.69,
7,0.8589,
8,0.9007,
9,0.9196,
10,0.9331,
11,0.9426,
12,0.9496,
13,0.9557,
14,0.9598,
15,0.9628,
16,0.9656,
17,0.968,
18,0.9705,
19,0.9717,
20,0.9732,
21,0.9748,
22,0.9756,
23,0.976,
24,0.9761,
25,0.977,
26,0.9772,
27,0.9781,
28,0.9789,
29,0.9793,
30,0.9797,
31,0.9799,
32,0.9809,
33,0.9812,
34,0.9816,
35,0.9818,
36,0.9821,
37,0.9823,
38,0.9822,
39,0.9824,
40,0.9827,
41,0.9831,
42,0.9832,
43,0.9832,
44,0.9832,
45,0.9838,
46,0.9843,
47,0.9844,
48,0.9845,
49,0.9848,
50,0.9846,
51,0.9847,
52,0.9848,
53,0.9849,
54,0.9849,
55,0.9852,
56,0.9853,
57,0.9854,
58,0.9855,
59,0.9856,
60,0.9856,
